date,open,high,low,adjClose,value,volume,count,yesterday,close
2013-03-17,3450.0,3450.0,3450.0,3450.0,103142887050,29896489,4841,1000.0,3450.0
2013-03-18,3622.0,3622.0,3622.0,3622.0,598484792,165236,74,3450.0,3622.0
2013-03-25,3803.0,3803.0,3803.0,3803.0,743638620,195540,62,3622.0,3803.0
2013-03-26,3993.0,3993.0,3851.0,3991.0,35004147715,8770332,5187,3803.0,3993.0
2013-03-27,4005.0,4190.0,3993.0,4115.0,44014674251,10695115,6654,3991.0,4190.0
2013-03-30,4170.0,4320.0,4051.0,4247.0,40026793851,9423997,5370,4115.0,4289.0
2013-03-31,4299.0,4350.0,4203.0,4272.0,19060304140,4461847,2241,4247.0,4240.0
2013-04-03,4201.0,4203.0,4100.0,4140.0,9123686923,2203937,1663,4272.0,4110.0
2013-04-06,4086.0,4149.0,3971.0,4025.0,13554145627,3367904,2111,4140.0,4020.0
2013-04-07,3990.0,4079.0,3911.0,3972.0,7289952186,1835235,1111,4025.0,3940.0
2013-04-08,3931.0,4040.0,3870.0,3913.0,8416353803,2150833,1128,3972.0,3887.0
2013-04-09,3897.0,3901.0,3800.0,3854.0,8094699892,2100387,1063,3913.0,3869.0
2013-04-10,3960.0,4046.0,3860.0,4012.0,4847411730,1208255,539,3854.0,4046.0
2013-04-13,4212.0,4212.0,4212.0,4212.0,9851872212,2339001,508,4012.0,4212.0
2013-04-15,4310.0,4422.0,4210.0,4344.0,25821803610,5943691,2546,4212.0,4227.0
2013-04-16,4250.0,4300.0,4131.0,4201.0,12711174635,3025489,1592,4344.0,4131.0
2013-04-17,4200.0,4249.0,4072.0,4107.0,5482763955,1334868,829,4201.0,4083.0
2013-04-20,4091.0,4240.0,3980.0,4087.0,5511555416,1348430,633,4107.0,4000.0
2013-04-21,4001.0,4005.0,3910.0,3953.0,4983441145,1260707,614,4087.0,3956.0
2013-04-22,4021.0,4150.0,4021.0,4126.0,7462407629,1808514,777,3953.0,4150.0
2013-04-23,4200.0,4329.0,4200.0,4275.0,6772376458,1584245,775,4126.0,4250.0
2013-04-24,4289.0,4289.0,4140.0,4178.0,6293556527,1506482,623,4275.0,4180.0
2013-04-27,4170.0,4200.0,4030.0,4090.0,4751288901,1161636,571,4178.0,4100.0
2013-04-28,4140.0,4140.0,4030.0,4055.0,4905510721,1209689,474,4090.0,4040.0
2013-04-29,4050.0,4098.0,4000.0,4028.0,5125111678,1272437,634,4055.0,4039.0
2013-04-30,4015.0,4015.0,3906.0,3940.0,3862841014,980383,541,4028.0,3935.0
2013-05-01,4044.0,4044.0,3871.0,3909.0,4914399200,1257162,639,3940.0,3915.0
2013-05-04,3977.0,3977.0,3860.0,3896.0,3433265486,881241,501,3909.0,3860.0
2013-05-05,3880.0,3995.0,3839.0,3879.0,5761830340,1485389,568,3896.0,3930.0
2013-05-06,3860.0,4000.0,3860.0,3958.0,2977549854,752342,373,3879.0,3968.0
2013-05-07,3998.0,4089.0,3900.0,3981.0,2691242798,676092,374,3958.0,3920.0
2013-05-08,3919.0,3919.0,3811.0,3864.0,1700165622,439992,312,3981.0,3900.0
2013-05-11,3950.0,4057.0,3900.0,4034.0,6501262135,1611489,621,3864.0,4057.0
2013-05-12,4190.0,4190.0,3910.0,4055.0,2726731631,672498,371,4034.0,3971.0
2013-05-13,3917.0,4012.0,3853.0,3863.0,6266854043,1622285,798,4055.0,3899.0
2013-05-14,3888.0,3920.0,3782.0,3830.0,11396334370,2975454,863,3863.0,3900.0
2013-05-19,3520.0,3600.0,3358.0,3504.0,3057306978,872625,376,3830.0,3510.0
2013-05-20,3619.0,3619.0,3500.0,3537.0,2769052776,782802,324,3504.0,3602.0
2013-05-21,3570.0,3713.0,3510.0,3674.0,3058186302,832429,347,3537.0,3713.0
2013-05-22,3789.0,3857.0,3720.0,3829.0,1548559636,404391,146,3674.0,3857.0
2013-05-25,4020.0,4020.0,4020.0,4020.0,367745580,91479,31,3829.0,4020.0
2013-05-26,4221.0,4221.0,4221.0,4221.0,442500093,104833,47,4020.0,4221.0
2013-05-27,4432.0,4432.0,4310.0,4422.0,26386644401,5967754,1906,4221.0,4432.0
2013-05-28,4499.0,4643.0,4451.0,4604.0,8685306791,1886499,532,4422.0,4643.0
2013-05-29,4834.0,4834.0,4834.0,4834.0,1413205398,292347,70,4604.0,4834.0
